id,run_id,input_video,bitrate,speed,t_received,t_assigned,t_dwnld_start,t_tc_start,t_upld_start,t_completed,name,node,t_diff_wait,t_diff_wait_assigned,t_diff_dwnld,t_diff_tc,t_diff_upld,load1_min,load1_avg,load1_max,used_mem_min,used_mem_avg,used_mem_max
8e3b723a23184c20a922a148dd9e46d8,f1e889faf20747ed87053acd76e33833,vid-04.mp4,7000,ultrafast,2024-12-16 15:39:20.899456,2024-12-16 15:39:21.222719,2024-12-16 15:39:21.233980,2024-12-16 15:39:21.558118,2024-12-16 15:42:52.885736,2024-12-16 15:42:53.015642,tc-pod-3,k8s-worker-2,0 days 00:00:00.323263,0 days 00:00:00.011261,0 days 00:00:00.324138,0 days 00:03:31.327618,0 days 00:00:00.129906,0.06,5.48,14.63,1.19,2.81,4.63
90af6bb8915b4f2db9d65dd228c943d9,f1e889faf20747ed87053acd76e33833,vid-02.mp4,4000,ultrafast,2024-12-16 15:39:15.396343,2024-12-16 15:39:22.423526,2024-12-16 15:39:22.436567,2024-12-16 15:39:22.561866,2024-12-16 15:40:09.544549,2024-12-16 15:40:09.662108,tc-pod-4,k8s-worker-1,0 days 00:00:07.027183,0 days 00:00:00.013041,0 days 00:00:00.125299,0 days 00:00:46.982683,0 days 00:00:00.117559,0.78,2.11,3.37,1.47,1.47,1.47
214878e823824c828d7e8f86f2a46c08,f1e889faf20747ed87053acd76e33833,vid-11.mp4,6000,fast,2024-12-16 15:40:02.902773,2024-12-16 15:40:04.996132,2024-12-16 15:40:05.004581,2024-12-16 15:40:06.000288,2024-12-16 15:43:59.174866,2024-12-16 15:43:59.336023,tc-pod-6,k8s-worker-3,0 days 00:00:02.093359,0 days 00:00:00.008449,0 days 00:00:00.995707,0 days 00:03:53.174578,0 days 00:00:00.161157,0.97,7.99,12.16,0.9,3.65,4.38
3db4d525573c4aa3982ca1ab72568ba0,f1e889faf20747ed87053acd76e33833,vid-06.mp4,8000,fast,2024-12-16 15:39:29.902339,2024-12-16 15:40:09.687525,2024-12-16 15:40:09.695673,2024-12-16 15:40:09.827694,2024-12-16 15:43:37.343530,2024-12-16 15:43:37.448673,tc-pod-4,k8s-worker-1,0 days 00:00:39.785186,0 days 00:00:00.008148,0 days 00:00:00.132021,0 days 00:03:27.515836,0 days 00:00:00.105143,3.54,7.69,11.63,1.47,4.01,4.6
04020a4fdb2a46169ae4ef2adaf65a65,f1e889faf20747ed87053acd76e33833,vid-09.mp4,3500,fast,2024-12-16 15:39:47.892578,2024-12-16 15:40:32.318981,2024-12-16 15:40:32.335257,2024-12-16 15:40:33.129116,2024-12-16 15:43:44.826740,2024-12-16 15:43:44.990324,tc-pod-7,k8s-worker-2,0 days 00:00:44.426403,0 days 00:00:00.016276,0 days 00:00:00.793859,0 days 00:03:11.697624,0 days 00:00:00.163584,2.47,10.77,17.06,1.2,3.89,4.65
8d9d9cada50a412cb79571fc08ad944f,f1e889faf20747ed87053acd76e33833,vid-15.mp4,3000,fast,2024-12-16 15:40:39.900207,2024-12-16 15:40:53.074889,2024-12-16 15:40:53.083913,2024-12-16 15:40:53.393177,2024-12-16 15:44:20.485837,2024-12-16 15:44:20.596502,tc-pod-8,k8s-worker-1,0 days 00:00:13.174682,0 days 00:00:00.009024,0 days 00:00:00.309264,0 days 00:03:27.092660,0 days 00:00:00.110665,3.8,9.42,12.16,3.2,4.29,4.6
f2cb424293334bccacfbb8f2707bcd1f,f1e889faf20747ed87053acd76e33833,vid-13.mp4,2000,fast,2024-12-16 15:40:20.399178,2024-12-16 15:41:14.943085,2024-12-16 15:41:14.951834,2024-12-16 15:41:15.724568,2024-12-16 15:44:18.984587,2024-12-16 15:44:19.139399,tc-pod-9,k8s-worker-3,0 days 00:00:54.543907,0 days 00:00:00.008749,0 days 00:00:00.772734,0 days 00:03:03.260019,0 days 00:00:00.154812,6.16,10.49,12.16,2.61,4.24,4.39
368480a000474e8f83943578d3d774e7,f1e889faf20747ed87053acd76e33833,vid-19.mp4,4800,fast,2024-12-16 15:41:24.905443,2024-12-16 15:41:39.251431,2024-12-16 15:41:39.260062,2024-12-16 15:41:40.248384,2024-12-16 15:45:18.231614,2024-12-16 15:45:18.403976,tc-pod-10,k8s-worker-2,0 days 00:00:14.345988,0 days 00:00:00.008631,0 days 00:00:00.988322,0 days 00:03:37.983230,0 days 00:00:00.172362,6.21,15.1,17.94,4.45,4.61,4.7
44e20eaddb4341ccbb867eb035b0d5d8,f1e889faf20747ed87053acd76e33833,vid-10.mp4,5000,ultrafast,2024-12-16 15:39:54.905318,2024-12-16 15:42:53.046497,2024-12-16 15:42:53.065651,2024-12-16 15:42:53.690935,2024-12-16 15:46:28.924350,2024-12-16 15:46:29.039473,tc-pod-3,k8s-worker-2,0 days 00:02:58.141179,0 days 00:00:00.019154,0 days 00:00:00.625284,0 days 00:03:35.233415,0 days 00:00:00.115123,10.67,15.56,17.94,3.0,4.17,4.7
f6d8926e20064208b8fc067606a0cdbe,f1e889faf20747ed87053acd76e33833,vid-14.mp4,8400,ultrafast,2024-12-16 15:40:29.905112,2024-12-16 15:43:37.466930,2024-12-16 15:43:37.474620,2024-12-16 15:43:37.559222,2024-12-16 15:44:11.579383,2024-12-16 15:44:11.643967,tc-pod-4,k8s-worker-1,0 days 00:03:07.561818,0 days 00:00:00.007690,0 days 00:00:00.084602,0 days 00:00:34.020161,0 days 00:00:00.064584,11.92,12.04,12.16,3.25,3.59,4.6
d1e18e9e1dba4b578b8a773c04e18d22,f1e889faf20747ed87053acd76e33833,vid-17.mp4,1500,fast,2024-12-16 15:41:01.408452,2024-12-16 15:43:45.009784,2024-12-16 15:43:45.022010,2024-12-16 15:43:45.635161,2024-12-16 15:47:09.705609,2024-12-16 15:47:09.859609,tc-pod-7,k8s-worker-2,0 days 00:02:43.601332,0 days 00:00:00.012226,0 days 00:00:00.613151,0 days 00:03:24.070448,0 days 00:00:00.154000,9.82,14.45,17.94,2.6,3.78,4.7
4e2936e56da246099324d5dab3a7fc24,f1e889faf20747ed87053acd76e33833,vid-08.mp4,9000,ultrafast,2024-12-16 15:39:41.405759,2024-12-16 15:43:59.359666,2024-12-16 15:43:59.368279,2024-12-16 15:43:59.716190,2024-12-16 15:44:28.629992,2024-12-16 15:44:28.716775,tc-pod-6,k8s-worker-3,0 days 00:04:17.953907,0 days 00:00:00.008613,0 days 00:00:00.347911,0 days 00:00:28.913802,0 days 00:00:00.086783,11.7,11.84,11.97,3.05,3.94,4.39
6778cf8fe8b14768b820417b7f5788e9,f1e889faf20747ed87053acd76e33833,vid-07.mp4,2500,fast,2024-12-16 15:39:35.396299,2024-12-16 15:44:11.668222,2024-12-16 15:44:11.676250,2024-12-16 15:44:11.766284,2024-12-16 15:44:58.566729,2024-12-16 15:44:58.639675,tc-pod-4,k8s-worker-1,0 days 00:04:36.271923,0 days 00:00:00.008028,0 days 00:00:00.090034,0 days 00:00:46.800445,0 days 00:00:00.072946,11.72,12.27,12.56,2.02,2.32,3.2
21d14a8dfeaf4228809070904502220e,f1e889faf20747ed87053acd76e33833,vid-12.mp4,7800,ultrafast,2024-12-16 15:40:11.398827,2024-12-16 15:44:19.160976,2024-12-16 15:44:19.170753,2024-12-16 15:44:19.499725,2024-12-16 15:44:43.977128,2024-12-16 15:44:44.068942,tc-pod-9,k8s-worker-3,0 days 00:04:07.762149,0 days 00:00:00.009777,0 days 00:00:00.328972,0 days 00:00:24.477403,0 days 00:00:00.091814,11.7,11.72,11.75,1.72,2.17,3.05
76691effc9ad47ba8b3c563994a8006e,f1e889faf20747ed87053acd76e33833,vid-18.mp4,6600,ultrafast,2024-12-16 15:41:12.898814,2024-12-16 15:44:20.618489,2024-12-16 15:44:20.628277,2024-12-16 15:44:20.730682,2024-12-16 15:44:50.396964,2024-12-16 15:44:50.467817,tc-pod-8,k8s-worker-1,0 days 00:03:07.719675,0 days 00:00:00.009788,0 days 00:00:00.102405,0 days 00:00:29.666282,0 days 00:00:00.070853,12.26,12.41,12.56,2.02,2.02,2.04
ecd74f103beb4d68b5f508de4de7581f,f1e889faf20747ed87053acd76e33833,vid-16.mp4,9200,ultrafast,2024-12-16 15:40:50.401960,2024-12-16 15:44:28.739494,2024-12-16 15:44:28.747563,2024-12-16 15:44:29.070313,2024-12-16 15:44:54.087725,2024-12-16 15:44:54.170096,tc-pod-6,k8s-worker-3,0 days 00:03:38.337534,0 days 00:00:00.008069,0 days 00:00:00.322750,0 days 00:00:25.017412,0 days 00:00:00.082371,11.7,11.72,11.75,1.72,1.72,1.72
d21b16ed12054c5086a5825e6d645ff6,f1e889faf20747ed87053acd76e33833,vid-20.mp4,5700,ultrafast,2024-12-16 15:41:37.408476,2024-12-16 15:44:44.091866,2024-12-16 15:44:44.101307,2024-12-16 15:44:44.390639,2024-12-16 15:44:48.214094,2024-12-16 15:44:48.257165,tc-pod-9,k8s-worker-3,0 days 00:03:06.683390,0 days 00:00:00.009441,0 days 00:00:00.289332,0 days 00:00:03.823455,0 days 00:00:00.043071,,,,,,
36c378ba482c4e8496fd22d97fdbbc4d,f1e889faf20747ed87053acd76e33833,vid-22.mp4,2900,ultrafast,2024-12-16 15:42:03.905442,2024-12-16 15:44:48.281415,2024-12-16 15:44:48.289225,2024-12-16 15:44:48.667096,2024-12-16 15:44:54.623846,2024-12-16 15:44:54.665600,tc-pod-9,k8s-worker-3,0 days 00:02:44.375973,0 days 00:00:00.007810,0 days 00:00:00.377871,0 days 00:00:05.956750,0 days 00:00:00.041754,,,,1.72,1.72,1.72
495e72271f404217bd386bb86af793e0,f1e889faf20747ed87053acd76e33833,vid-25.mp4,9900,fast,2024-12-16 15:42:47.404994,2024-12-16 15:44:50.490099,2024-12-16 15:44:50.499889,2024-12-16 15:44:50.602978,2024-12-16 15:45:05.602571,2024-12-16 15:45:05.686240,tc-pod-8,k8s-worker-1,0 days 00:02:03.085105,0 days 00:00:00.009790,0 days 00:00:00.103089,0 days 00:00:14.999593,0 days 00:00:00.083669,12.52,12.52,12.52,2.15,2.15,2.15
b33712c8f545499294290e6f1326d3e0,f1e889faf20747ed87053acd76e33833,vid-21.mp4,7500,fast,2024-12-16 15:41:50.398705,2024-12-16 15:44:54.186731,2024-12-16 15:44:54.194840,2024-12-16 15:44:54.427481,2024-12-16 15:45:45.280100,2024-12-16 15:45:45.344266,tc-pod-6,k8s-worker-3,0 days 00:03:03.788026,0 days 00:00:00.008109,0 days 00:00:00.232641,0 days 00:00:50.852619,0 days 00:00:00.064166,7.78,10.33,12.31,1.47,1.67,1.96
b29c4b7a2db74c859c7abf57b169e423,f1e889faf20747ed87053acd76e33833,vid-23.mp4,8800,fast,2024-12-16 15:42:17.909838,2024-12-16 15:44:54.693100,2024-12-16 15:44:54.703434,2024-12-16 15:44:54.885189,2024-12-16 15:45:07.626775,2024-12-16 15:45:07.678248,tc-pod-9,k8s-worker-3,0 days 00:02:36.783262,0 days 00:00:00.010334,0 days 00:00:00.181755,0 days 00:00:12.741586,0 days 00:00:00.051473,12.31,12.31,12.31,1.96,1.96,1.96
aa7773d7bd9843658f124bf8fc84d784,f1e889faf20747ed87053acd76e33833,vid-24.mp4,3600,ultrafast,2024-12-16 15:42:32.397557,2024-12-16 15:44:58.659185,2024-12-16 15:44:58.670751,2024-12-16 15:44:58.714591,2024-12-16 15:45:06.312805,2024-12-16 15:45:06.352946,tc-pod-4,k8s-worker-1,0 days 00:02:26.261628,0 days 00:00:00.011566,0 days 00:00:00.043840,0 days 00:00:07.598214,0 days 00:00:00.040141,,,,2.15,2.15,2.15
